CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,AL1,Dpp1,Kc1,AL2,Dpp2,Kc2,AL3,Dpp3,Kc3
-0.7629358611,-0.69226396,-0.5716300383,-1.007448737,-0.7850302393,-0.9776934422,-1.015194476,-0.7346367621,-0.8932792969,3.507292823,3.155529118,2.76441319,2.952015714,2.46404511,4.619695109,4.659966797,4.958022891,4.461127639,70.660836,38.27259142,21.1797304,69.35898791,32.54927383,18.90905789,69.80821547,37.11993603,16.93575993
-0.7513705349,-0.7418737436,-0.5718105784,-0.9609846712,-0.7927596247,-0.9591292034,-0.9663936002,-0.7552415706,-0.876255249,3.359327844,3.33558619,2.731889533,3.096113364,2.414029406,4.469036294,4.898426392,5.024211794,4.368083228,66.49587025,38.86128569,21.50231869,68.28158621,33.04199708,18.70937406,68.90867627,37.66565995,16.98291856
-0.7472649782,-0.702060813,-0.5226836145,-0.9724427075,-0.7284038874,-0.9898151383,-1.045660043,-0.7415142756,-0.8807900391,3.54775897,3.178839544,2.653722065,3.212594505,2.432639204,4.643669749,4.541848633,4.777773711,4.471552783,68.59359452,38.44337195,22.11008827,69.99091823,32.95593467,20.19667562,68.35362314,37.20027889,16.99347089
-0.7410037807,-0.7456532849,-0.5525061623,-0.9493120203,-0.7810492802,-0.9165760355,-0.9691067877,-0.7267608999,-0.9129477539,3.618659742,3.302257071,2.556444099,3.217588175,2.462726542,4.663939217,4.699415527,4.971366012,4.392530191,71.79850222,37.85091053,17.02905357,67.38864346,32.63160959,16.65116732,68.96887256,37.22897549,17.00620468
-0.7013256776,-0.7292664624,-0.5482534402,-1.006971816,-0.7595074552,-0.9900002023,-0.9746061634,-0.7839625846,-0.8734833984,3.530756387,3.378734426,2.641741378,3.138143422,2.447503068,4.525976063,4.550057617,4.95849107,4.455706564,68.70130439,38.31227717,18.14894132,67.84405056,33.09795121,21.9185574,67.66501952,37.56410018,17.0237904
-0.7517372622,-0.7246499597,-0.5521852021,-0.9788811462,-0.7734594144,-0.9752413434,-1.026923232,-0.7769001917,-0.891027832,3.528206,3.212208578,2.645517899,3.097134797,2.338541353,4.624707988,4.862683105,5.011629465,4.198205506,66.99831756,38.46888749,19.28350424,67.94498827,33.39158998,19.31863315,67.66090664,37.56481673,17.10227227
-0.718767585,-0.722095025,-0.5504065479,-1.00203568,-0.7859417673,-0.9575908584,-1.029721587,-0.7942603668,-0.8896472168,3.504147345,3.242783554,2.552862916,3.21055164,2.50641911,4.50734123,4.891300537,5.001680646,4.471448531,69.46805756,37.38454433,16.97250355,70.43195814,32.64242486,17.80951511,70.51902396,37.00605956,17.11397773
-0.7344116342,-0.7248878329,-0.5256458092,-0.9387601346,-0.7661950943,-0.9723612839,-0.9943284818,-0.7341653197,-0.8494925537,3.346065829,3.379333153,2.615989414,3.22776467,2.358649524,4.502600789,4.850540649,4.943216708,4.457739467,69.83527056,38.1078515,21.87325856,69.40665938,33.02575169,18.77216933,71.267364,37.46370621,17.13211861
-0.7281414921,-0.7130029816,-0.5307744851,-0.9296390131,-0.7684553117,-0.9754495404,-0.9480582925,-0.7909325377,-0.8931306152,3.518089463,3.147306605,2.68282732,3.13761379,2.346992179,4.533931284,4.835205811,4.763377186,4.481039664,67.09142,38.34769582,20.41117309,63.01853164,31.44982493,23.03333257,66.49587025,37.32677371,17.20588102
-0.7583562424,-0.7057963037,-0.5613593133,-0.9647165811,-0.751694358,-0.9836154922,-1.021423857,-0.7772329746,-0.9095917969,3.485529517,3.298584881,2.547719034,3.126340201,2.387328392,4.647592871,4.805904297,4.987986391,4.43443927,71.21883077,37.55802822,16.74850646,71.031184,32.09503532,17.80321942,70.26180542,36.7958488,17.21462204
-0.6998498239,-0.7407460483,-0.5572603846,-0.977772304,-0.7677577137,-0.9458045909,-1.017785996,-0.7635241675,-0.850427124,3.625928346,3.361131862,2.62770965,3.062216936,2.509925304,4.629448428,4.657629517,4.986757419,4.454820427,68.14190437,37.88063015,19.99350998,69.022864,32.62907062,18.63627393,70.16784639,36.98106769,17.27504459
-0.6977836288,-0.7453713611,-0.5480127201,-0.9535089285,-0.7634884142,-0.9643225637,-1.007651084,-0.7513128835,-0.8915375977,3.337096967,3.109387249,2.580405472,3.151005906,2.394640454,4.463424049,4.898255371,4.902075418,4.424222629,69.78096225,37.98415865,15.06834595,67.02360231,32.85028029,21.1118408,68.80080389,37.34426052,17.35006056
-0.7683920475,-0.6959113495,-0.5262008028,-0.9775696124,-0.7853092784,-0.9506972221,-0.979448534,-0.7409041736,-0.8594436035,3.594431061,3.374503424,2.789221025,3.024877902,2.509415857,4.298325962,4.798037354,5.012682869,4.389506899,68.3929,39.06415643,26.38448972,66.78049123,33.32002307,24.28263073,67.50881814,37.69738272,17.47194668
-0.7411468938,-0.733953446,-0.5310018318,-0.9708688669,-0.7303013539,-0.9793127527,-1.027312569,-0.7393326987,-0.8709770508,3.589415299,3.157285383,2.534045425,3.233931096,2.418134949,4.497424447,4.470476074,4.976047809,4.436732802,70.19908514,38.22806477,14.74348296,67.28097148,32.94126151,19.57540985,70.49458297,36.94827655,17.47276039
-0.7641344332,-0.7250552252,-0.5483738003,-0.9385097509,-0.74829008,-0.9629577162,-1.017068157,-0.7370217063,-0.8368015137,3.321199552,3.235758494,2.626309733,3.195419306,2.43114083,4.623291305,4.766341553,4.989507975,4.111989565,66.84007775,38.5927476,23.27871279,65.04502554,33.00320461,19.53143353,68.72123759,37.66769235,17.53614414
-0.7027031411,-0.7290373993,-0.5449234786,-0.946474338,-0.7982566966,-0.9397784424,-0.961733731,-0.7327694802,-0.8341252441,3.582869304,3.133735467,2.657433473,2.995218527,2.565514958,4.684535612,4.886511963,4.803874729,4.475410086,67.815225,38.30773668,16.81680612,66.66926627,32.69491472,18.82695088,65.66975676,37.59966001,17.55834401
